0,2022/3/1,2022/3/2,2022/3/3,2022/3/4,2022/3/5,2022/3/6,2022/3/7,2022/3/8,2022/3/9,2022/3/10,2022/3/11,2022/3/12,2022/3/13,2022/3/14,2022/3/15,2022/3/16,2022/3/17,2022/3/18,2022/3/19,2022/3/20,2022/3/21,2022/3/22,2022/3/23,2022/3/24,2022/3/25,2022/3/26,2022/3/27,2022/3/28,2022/3/29,2022/3/30,2022/3/31,2022/4/1,2022/4/2,2022/4/3,2022/4/4,2022/4/5,2022/4/6,2022/4/7,2022/4/8,2022/4/9,2022/4/10,2022/4/11,2022/4/12,2022/4/13,2022/4/14,2022/4/15,2022/4/16,2022/4/17,2022/4/18,2022/4/19,2022/4/20,2022/4/21,2022/4/22,2022/4/23,2022/4/24,2022/4/25,2022/4/26,202/4/272
pudong,0,0,0,0,0,1,0,0,1,5,0,0,5,1,2,0,25,2,8,1,6,0,0,12,31,1,4,39,169,249,180,79,108,140,205,162,151,307,348,517,212,493,192,1139,1252,1142,1002,521,1075,720,756,409,704,541,874,292,206,534
huangpu,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,8,0,0,2,0,0,0,0,0,0,1,1,6,16,7,5,27,14,8,16,9,14,41,101,36,117,74,227,268,246,188,186,362,368,252,192,435,96,317,156,301,135
minhang,0,0,1,1,0,0,0,1,1,2,0,1,9,2,1,1,4,1,4,18,10,0,2,0,4,15,20,9,29,19,59,57,55,68,11,23,21,95,62,88,102,68,280,372,274,301,890,106,312,389,291,153,208,108,143,61,71,51
hongkou,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,4,7,1,8,3,30,11,5,8,1,26,18,12,6,25,83,121,174,287,157,266,233,148,102,103,428,82,106,138,37,68
jingan,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,8,0,3,5,10,8,8,4,11,26,29,1,12,27,22,42,25,29,20,75,49,70,92,143,127,203,205,164,150,76,40,142,131,145,32
baoshan,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,1,0,0,0,0,3,0,6,5,8,33,1,4,10,35,32,1,7,9,9,29,36,21,47,16,13,50,21,51,85,203,41,107,136,179,135,135,216,295,52
changning,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,3,8,43,0,7,14,1,6,31,29,20,26,5,25,90,105,148,233,127,62,193,53,123,85,164,69,76,97,64,19
songjiang,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,4,15,8,5,19,8,6,6,14,2,107,108,10,291,21,77,131,178,198,87,153,191,58,165,22,120,32,166,108,29,52
qingpu,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,3,3,1,6,4,4,24,9,1,30,61,99,128,131,46,17,77,72,129,60,44,26,8,44,27,4
jiading,0,0,0,2,0,0,0,1,0,1,1,0,5,0,0,4,5,0,2,1,5,2,1,1,0,9,3,2,9,9,7,9,26,14,4,11,6,23,116,21,71,43,42,54,200,173,103,356,72,104,82,80,76,73,132,58,89,13
xuhui,0,0,0,0,0,2,3,0,0,0,2,0,4,2,1,1,8,1,0,1,4,2,0,2,1,5,6,6,34,15,20,37,44,34,8,23,19,43,114,44,46,48,56,143,293,277,170,153,68,144,191,347,123,91,228,209,173,212
yangpu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,5,11,19,30,10,11,12,29,12,32,61,30,60,54,268,275,84,26,64,64,202,54,88,42,75,65,47,135
putuo,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,4,3,6,6,6,13,39,21,4,7,27,11,21,24,7,37,50,45,45,66,145,330,21,100,49,94,71,39,43,47,104,24
chongming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1,3,1,0,2,0,2,3,4,0,6,29,7,29,51,13,9,5,25,8,24,14,26,27,36,14,26
fengxian,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,7,5,2,8,4,2,2,0,31,12,13,11,4,1,2,20,23,23,1,3,2,6,14,6,1,0,3,2,0
jinshan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,3,0,4,1,1,3,72,45,44,15,3,3,12,23,21,9,5,2,1,16,8,0,0,0,0,2,10
